
Open,AAST1003 001,Introduction to African and African American Studies  (Sp, Fa),Lecture,Regular Academic Session,3,8863,Aug 25, 2014,Dec 19, 2014,Tue, Thu  12:30 PM - 1:45 PM,SCEN0405,Caree Banton,34/35,UGRD,ARSC,HIST,FAY,course material,
Closed,AAST2023 901,The African American Experience  (Sp, Su, Fa),Lecture,Regular Academic Session,3,11033,Aug 25, 2014,Dec 19, 2014,   - ,ONLINE WEB,Mary Hui,40/40,UGRD,ARSC,HIST,OFF,course material,
Open,AAST3023 001,African Americans in Sport  (Sp, Su, Fa),Lecture,Regular Academic Session,3,9984,Aug 25, 2014,Dec 19, 2014,Mon, Wed, Fri  8:35 AM - 9:25 AM,SCEN0604,Reginald Thurman,34/35,UGRD,ARSC,HIST,FAY,course material,
Closed,AAST3023 901,African Americans in Sport  (Sp, Su, Fa),Lecture,Regular Academic Session,3,10552,Aug 25, 2014,Dec 19, 2014,   - ,ONLINE WEB,Carl Riley,40/40,UGRD,ARSC,HIST,OFF,course material,
Open,AAST3193 001,The Making of the Modern Caribbean  (Fa),Lecture,Regular Academic Session,3,9994,Aug 25, 2014,Dec 19, 2014,Tue, Thu  9:30 AM - 10:45 AM,SCEN0613,Caree Banton,9/10,UGRD,ARSC,HIST,FAY,course material,
Closed,AAST3233 001,African American History to 1877  (Sp, Fa),Lecture,Regular Academic Session,3,10061,Aug 25, 2014,Dec 19, 2014,Tue, Thu  11:00 AM - 12:15 PM,JBHT0147,Misti Harper,10/10,UGRD,ARSC,HIST,FAY,course material,
Closed,AAST3233 901,African American History to 1877  (Sp, Fa),Lecture,Regular Academic Session,3,11034,Aug 25, 2014,Dec 19, 2014,   - ,ONLINE WEB,Jim Gigantino,17/15,UGRD,ARSC,HIST,OFF,course material,
Open,AAST3243 901,African American History Since 1877  (Sp, Fa),Lecture,Regular Academic Session,3,11036,Aug 25, 2014,Dec 19, 2014,   - ,ONLINE WEB,Calvin White,14/15,UGRD,ARSC,HIST,OFF,course material,
Closed,AAST3253 001,The History of Sub-Saharan Africa  (Fa),Lecture,Regular Academic Session,3,9985,Aug 25, 2014,Dec 19, 2014,Tue, Thu  9:30 AM - 10:45 AM,HOEC0005,Timothy Landry,10/10,UGRD,ARSC,HIST,FAY,course material,
Closed,AAST3253 002,The History of Sub-Saharan Africa  (Fa),Lecture,Regular Academic Session,3,9986,Aug 25, 2014,Dec 19, 2014,Tue, Thu  2:00 PM - 3:15 PM,AGRI0332,Timothy Landry,10/10,UGRD,ARSC,HIST,FAY,course material,
Open,AAST3293 001,African American Politics  (Irregular),Lecture,Regular Academic Session,3,8114,Aug 25, 2014,Dec 19, 2014,Tue, Thu  11:00 AM - 12:15 PM,JBHT0266,Pearl Dowe,7/15,UGRD,ARSC,HIST,FAY,course material,
Open,AAST4483 001,African American Biographies  (Irregular),Lecture,Regular Academic Session,3,10058,Aug 25, 2014,Dec 19, 2014,Mon, Wed, Fri  9:40 AM - 10:30 AM,KIMP0201,Calvin White,8/10,UGRD,ARSC,HIST,FAY,course material,
Open,AAST499V 002,African and African American Studies Seminar  (Sp, Su, Fa),Seminar,Regular Academic Session,1 - 12,9982,Aug 25, 2014,Dec 19, 2014,Tue, Thu  12:30 PM - 1:45 PM,KIMP0305,Brandon Jackson,12/19,UGRD,ARSC,HIST,FAY,course material,
Open,AAST499V 003,African and African American Studies Seminar  (Sp, Su, Fa),Seminar,Regular Academic Session,1 - 12,9983,Aug 25, 2014,Dec 19, 2014,Tue, Thu  9:30 AM - 10:45 AM,JBHT0147,Clinnesha Sibley,5/10,UGRD,ARSC,HIST,FAY,course material,
Open,AAST499V 005,African and African American Studies Seminar  (Sp, Su, Fa),Seminar,Regular Academic Session,1 - 12,11229,Aug 25, 2014,Dec 19, 2014,Mon, Wed, Fri  12:55 PM - 1:45 PM,BELL2268,Timothy Landry,6/10,UGRD,ARSC,HIST,FAY,course material,
Open,AAST499V 006,African and African American Studies Seminar  (Sp, Su, Fa),Seminar,Regular Academic Session,1 - 12,11232,Aug 25, 2014,Dec 19, 2014,Mon, Wed, Fri  2:00 PM - 2:50 PM,FNAR0213,Timothy Landry,4/5,UGRD,ARSC,HIST,FAY,course material,
Closed,ACCT2013 001,Accounting Principles  (Sp, Fa),Lecture,Regular Academic Session,3,7901,Aug 25, 2014,Dec 19, 2014,Mon, Wed, Fri  8:35 AM - 9:25 AM,BELL2282,James Myers,228/225,UGRD,WCOB,ACCT,FAY,course material,
Closed,ACCT2013 003,Accounting Principles  (Sp, Fa),Lecture,Regular Academic Session,3,10936,Aug 25, 2014,Dec 19, 2014,Tue, Thu  8:00 AM - 9:15 AM,KIMP0209,JaLynn Thomas,50/50,UGRD,WCOB,ACCT,FAY,course material,
